Panel,Variable_Name,Effect,CI_Upper,CI_Lower,P_Value,Standard_Error,Proportion,Number_low_quality_links,Article_Rating
A,Age,0.0291,-0.0117,0.0699,0.1589,0.0018,NA,NA,NA
A,Gender,0.0085,-0.045,0.062,0.753,0.0538,NA,NA,NA
A,Education,0.0045,-0.0327,0.0418,0.824,0.0194,NA,NA,NA
A,Income,-0.0113,-0.0525,0.03,0.5943,0.0267,NA,NA,NA
A,"Ideological
Congruence",0.0372,-0.0015,0.0759,0.0827,0.0443,NA,NA,NA
A,Digital Literacy,-0.0348,-0.0804,0.0108,0.1416,0.0028,NA,NA,NA
B,NA,NA,NA,NA,NA,NA,0.79,Zero,Other
B,NA,NA,NA,NA,NA,NA,0.23,Zero,Headline/Link
B,NA,NA,NA,NA,NA,NA,0.21,One or more,Other
B,NA,NA,NA,NA,NA,NA,0.77,One or more,Headline/Link
C,Age,6e-4,-0.033,0.0341,0.9724,0.0014,NA,NA,NA
C,Gender,0.0057,-0.0332,0.0446,0.7589,0.0375,NA,NA,NA
C,Education,0.0141,-0.0074,0.0355,0.184,0.0099,NA,NA,NA
C,Income,0.0024,-0.0187,0.0235,0.8121,0.0135,NA,NA,NA
C,"Ideological
Congruence",0.0142,-0.0145,0.0428,0.3094,0.0293,NA,NA,NA
C,Digital Literacy,-0.0338,-0.0604,-0.0072,0.016,0.0016,NA,NA,NA
